work_order_id,equipment_id,date,type,description,technician,fault_code,parts_used,downtime_min,outcome
WO-GEN-0056,HSM-AGC-HYD,2025-07-16,oil_sample,Routine oil sample on Hydraulic Automatic Gauge Control (AGC) system.,U-ENG-02,,,0,normal
WO-GEN-0055,HSM-AGC-HYD,2025-08-04,inspection,Routine inspection on Hydraulic Automatic Gauge Control (AGC) system.,U-ENG-02,,,0,normal
WO-GEN-0053,HSM-AGC-HYD,2025-08-29,oil_sample,Routine oil sample on Hydraulic Automatic Gauge Control (AGC) system.,U-SUP-02,,,0,normal
WO-GEN-0051,HSM-AGC-HYD,2025-10-15,preventive,Routine preventive on Hydraulic Automatic Gauge Control (AGC) system.,U-SUP-01,,,0,normal
WO-GEN-0054,HSM-AGC-HYD,2025-12-21,preventive,Routine preventive on Hydraulic Automatic Gauge Control (AGC) system.,U-SUP-02,,,0,normal
WO-GEN-0052,HSM-AGC-HYD,2026-04-14,inspection,Routine inspection on Hydraulic Automatic Gauge Control (AGC) system.,U-ENG-02,,,0,normal
WO-GEN-0026,HSM-DC-MND,2025-07-20,inspection,Routine inspection on Down-coiler mandrel and wrapper-roll assembly.,U-ENG-01,,,0,normal
WO-GEN-0027,HSM-DC-MND,2025-07-30,oil_sample,Routine oil sample on Down-coiler mandrel and wrapper-roll assembly.,U-SUP-02,,,0,normal
WO-GEN-0030,HSM-DC-MND,2025-09-21,oil_sample,Routine oil sample on Down-coiler mandrel and wrapper-roll assembly.,U-ENG-02,,,0,normal
WO-2025-0815,HSM-DC-MND,2025-09-30,corrective,Wrapper-roll bearing degradation and Alpha-defect cluster review.,U-ENG-02,DC-MND-002,DC-WRAP-BRG-01,180,replaced; see FR-2025-002
WO-GEN-0032,HSM-DC-MND,2025-12-17,inspection,Routine inspection on Down-coiler mandrel and wrapper-roll assembly.,U-SUP-02,,,0,normal
WO-GEN-0028,HSM-DC-MND,2026-02-12,preventive,Routine preventive on Down-coiler mandrel and wrapper-roll assembly.,U-SUP-01,,,0,normal
WO-GEN-0029,HSM-DC-MND,2026-03-22,inspection,Routine inspection on Down-coiler mandrel and wrapper-roll assembly.,U-SUP-02,,,0,normal
WO-GEN-0025,HSM-DC-MND,2026-04-16,preventive,Routine preventive on Down-coiler mandrel and wrapper-roll assembly.,U-SUP-01,,,0,normal
WO-GEN-0031,HSM-DC-MND,2026-04-24,preventive,Routine preventive on Down-coiler mandrel and wrapper-roll assembly.,U-SUP-02,,,0,normal
WO-GEN-0075,HSM-DC-MND,2026-05-12,inspection,Coil quality investigation for Alpha-defect coil 1015.,U-ENG-02,DC-PROC-001,,0,logged for Phase 3 defect-risk analysis
WO-GEN-0076,HSM-DC-MND,2026-05-12,inspection,Coil quality investigation for Alpha-defect coil 1080.,U-ENG-02,DC-PROC-001,,0,logged for Phase 3 defect-risk analysis
WO-GEN-0077,HSM-DC-MND,2026-05-12,inspection,Coil quality investigation for Alpha-defect coil 1083.,U-ENG-02,DC-PROC-001,,0,logged for Phase 3 defect-risk analysis
WO-2025-0307,HSM-DSC-PMP,2025-04-22,corrective,Descaling pressure loss; seal kit replaced.,U-SUP-02,DSC-PMP-001,DSC-PMP-SEAL-01,120,replaced; see FR-2025-001
WO-GEN-0034,HSM-DSC-PMP,2025-09-01,inspection,Routine inspection on Descaler high-pressure pump.,U-ENG-01,,,0,normal
WO-GEN-0038,HSM-DSC-PMP,2025-09-07,oil_sample,Routine oil sample on Descaler high-pressure pump.,U-SUP-01,,,0,normal
WO-GEN-0033,HSM-DSC-PMP,2025-09-29,preventive,Routine preventive on Descaler high-pressure pump.,U-SUP-02,,,0,normal
WO-GEN-0037,HSM-DSC-PMP,2025-11-13,inspection,Routine inspection on Descaler high-pressure pump.,U-ENG-01,,,0,normal
WO-GEN-0036,HSM-DSC-PMP,2025-11-29,preventive,Routine preventive on Descaler high-pressure pump.,U-ENG-01,,,0,normal
WO-GEN-0035,HSM-DSC-PMP,2026-01-14,oil_sample,Routine oil sample on Descaler high-pressure pump.,U-ENG-02,,,0,normal
WO-2024-0233,HSM-F1-WRB,2024-03-05,corrective,Inner-race spalling after lubrication starvation; bearing replaced.,U-ENG-01,F1-WRB-001,BRG-F1-TRB-01,210,replaced; see FR-2024-001
WO-GEN-0059,HSM-F1-WRB,2025-08-07,oil_sample,Routine oil sample on F1 finishing stand work-roll bearing.,U-ENG-01,,,0,normal
WO-GEN-0060,HSM-F1-WRB,2025-08-17,preventive,Routine preventive on F1 finishing stand work-roll bearing.,U-ENG-01,,,0,normal
WO-GEN-0061,HSM-F1-WRB,2025-08-20,inspection,Routine inspection on F1 finishing stand work-roll bearing.,U-SUP-02,,,0,normal
WO-GEN-0062,HSM-F1-WRB,2025-08-25,oil_sample,Routine oil sample on F1 finishing stand work-roll bearing.,U-SUP-01,,,0,normal
WO-GEN-0058,HSM-F1-WRB,2025-10-13,inspection,Routine inspection on F1 finishing stand work-roll bearing.,U-ENG-01,,,0,normal
WO-GEN-0057,HSM-F1-WRB,2026-02-25,preventive,Routine preventive on F1 finishing stand work-roll bearing.,U-SUP-01,,,0,normal
WO-GEN-0015,HSM-F2-WRB,2025-09-09,preventive,Routine preventive on F2 finishing stand work-roll bearing (drive side).,U-SUP-02,,,0,normal
WO-GEN-0016,HSM-F2-WRB,2025-09-16,inspection,Routine inspection on F2 finishing stand work-roll bearing (drive side).,U-SUP-02,,,0,normal
WO-GEN-0010,HSM-F2-WRB,2025-10-07,inspection,Routine inspection on F2 finishing stand work-roll bearing (drive side).,U-ENG-02,,,0,normal
WO-GEN-0014,HSM-F2-WRB,2025-11-19,oil_sample,Routine oil sample on F2 finishing stand work-roll bearing (drive side).,U-SUP-02,,,0,normal
WO-GEN-0011,HSM-F2-WRB,2025-12-21,oil_sample,Routine oil sample on F2 finishing stand work-roll bearing (drive side).,U-SUP-02,,,0,normal
WO-GEN-0001,HSM-F2-WRB,2026-02-14,lubrication,Scheduled work-roll bearing lubrication.,U-ENG-01,,GREASE-EP2-DRUM,0,completed
WO-GEN-0002,HSM-F2-WRB,2026-02-28,lubrication,Scheduled work-roll bearing lubrication.,U-ENG-01,,GREASE-EP2-DRUM,0,completed
WO-GEN-0013,HSM-F2-WRB,2026-03-10,inspection,Routine inspection on F2 finishing stand work-roll bearing (drive side).,U-ENG-01,,,0,normal
WO-GEN-0003,HSM-F2-WRB,2026-03-14,lubrication,Scheduled work-roll bearing lubrication.,U-ENG-01,,GREASE-EP2-DRUM,0,completed
WO-GEN-0004,HSM-F2-WRB,2026-03-28,lubrication,Scheduled work-roll bearing lubrication.,U-ENG-01,,GREASE-EP2-DRUM,0,completed
WO-GEN-0005,HSM-F2-WRB,2026-04-11,lubrication,Scheduled work-roll bearing lubrication.,U-ENG-01,,GREASE-EP2-DRUM,0,completed
WO-GEN-0009,HSM-F2-WRB,2026-04-17,preventive,Routine preventive on F2 finishing stand work-roll bearing (drive side).,U-SUP-02,,,0,normal
WO-GEN-0012,HSM-F2-WRB,2026-04-18,preventive,Routine preventive on F2 finishing stand work-roll bearing (drive side).,U-SUP-01,,,0,normal
WO-GEN-0006,HSM-F2-WRB,2026-05-09,lubrication,Scheduled work-roll bearing lubrication.,U-ENG-01,,GREASE-EP2-DRUM,0,completed
WO-GEN-0007,HSM-F2-WRB,2026-05-23,lubrication,Scheduled work-roll bearing lubrication.,U-ENG-01,,GREASE-EP2-DRUM,0,completed
