date,plant_id,unit_id,maintenance_type,component,cost_usd,duration_hours,status,technician_id,confidence_score
2024-02-27,Plant-B,Rolling-Mill,Preventive,Motor,5909.29,66,Completed,Tech-585,0.695
2024-03-18,Plant-D,Rolling-Mill,Emergency,Bearing,59780.59,33,Completed,Tech-581,0.72
2024-06-18,Plant-C,Sinter-Plant,Preventive,Compressor,2268.67,46,Scheduled,Tech-928,0.905
2024-02-15,Plant-B,Coke-Oven,Predictive,Valve,51171.77,34,Completed,Tech-640,0.904
2024-04-25,Plant-D,Rolling-Mill,Emergency,Bearing,72876.54,11,Overdue,Tech-381,0.93
2024-03-19,Plant-D,Rolling-Mill,Scheduled,Bearing,54779.61,69,Scheduled,Tech-698,0.712
2024-01-21,Plant-C,Sinter-Plant,Preventive,Heat Exchanger,84083.26,57,Scheduled,Tech-645,0.808
2024-02-13,Plant-D,BOF-Converter,Preventive,Conveyor Belt,32445.03,66,Completed,Tech-288,0.608
2024-03-18,Plant-C,Rolling-Mill,Corrective,Motor,13792.0,17,Completed,Tech-615,0.827
2024-06-04,Plant-A,Blast-Furnace-1,Corrective,Heat Exchanger,37119.78,33,In Progress,Tech-124,0.624
2024-01-24,Plant-B,BOF-Converter,Scheduled,Sensor,54544.2,16,Completed,Tech-941,0.628
2024-03-26,Plant-B,Blast-Furnace-2,Corrective,Compressor,63369.92,61,Scheduled,Tech-180,0.639
2024-01-25,Plant-B,Blast-Furnace-1,Predictive,Conveyor Belt,48006.94,3,Completed,Tech-575,0.729
2024-06-15,Plant-B,Sinter-Plant,Emergency,Heat Exchanger,72306.12,8,Completed,Tech-903,0.735
2024-03-06,Plant-A,BOF-Converter,Preventive,Sensor,28887.87,12,Scheduled,Tech-278,0.609
2024-01-19,Plant-A,Blast-Furnace-1,Scheduled,Motor,37660.24,33,In Progress,Tech-439,0.729
2024-04-28,Plant-D,Blast-Furnace-1,Corrective,Valve,18095.34,64,Scheduled,Tech-245,0.983
2024-01-01,Plant-C,Rolling-Mill,Preventive,Compressor,12365.59,50,Completed,Tech-527,0.675
2024-03-27,Plant-B,Sinter-Plant,Preventive,Valve,7183.37,32,In Progress,Tech-426,0.787
2024-03-10,Plant-C,Blast-Furnace-1,Emergency,Pump,2454.85,67,Completed,Tech-703,0.731
2024-06-24,Plant-C,Coke-Oven,Predictive,Conveyor Belt,73300.52,13,Completed,Tech-229,0.748
2024-03-04,Plant-D,Rolling-Mill,Emergency,Compressor,36725.04,70,Completed,Tech-815,0.833
2024-04-22,Plant-A,Rolling-Mill,Preventive,Compressor,20401.91,59,Completed,Tech-710,0.927
2024-06-18,Plant-D,Blast-Furnace-1,Predictive,Conveyor Belt,20799.2,28,Completed,Tech-813,0.836
2024-06-02,Plant-B,Rolling-Mill,Scheduled,Conveyor Belt,79987.61,7,Scheduled,Tech-604,0.77
2024-06-24,Plant-C,Coke-Oven,Predictive,Sensor,21622.3,18,Completed,Tech-363,0.782
2024-06-13,Plant-D,Blast-Furnace-2,Scheduled,Bearing,32456.86,5,Completed,Tech-385,0.963
2024-02-24,Plant-D,Rolling-Mill,Predictive,Sensor,50527.63,38,Overdue,Tech-602,0.629
2024-04-21,Plant-B,Rolling-Mill,Emergency,Heat Exchanger,58641.19,58,Completed,Tech-674,0.985
2024-04-18,Plant-B,Sinter-Plant,Emergency,Valve,50394.32,52,In Progress,Tech-400,0.656
2024-06-28,Plant-B,Sinter-Plant,Scheduled,Bearing,80417.07,24,Completed,Tech-937,0.738
2024-03-06,Plant-C,Blast-Furnace-2,Predictive,Bearing,46272.22,69,Scheduled,Tech-982,0.679
2024-06-01,Plant-D,Rolling-Mill,Preventive,Compressor,57088.09,12,Completed,Tech-513,0.771
2024-03-30,Plant-A,Sinter-Plant,Predictive,Heat Exchanger,55162.92,68,Scheduled,Tech-344,0.709
2024-05-24,Plant-C,Coke-Oven,Emergency,Conveyor Belt,36318.63,12,Completed,Tech-171,0.952
