coil_id,source,produced_at,assigned_asset_id,grade,thickness_mm,width_mm,alpha_label,alpha_risk_score
487,train,2026-03-08T06:00:00,HSM-DC-MND,SAE-1018,7.19,1396.4,0,
44,train,2026-03-08T07:16:38,HSM-DC-MND,API-5L-X52,10.08,1231.6,0,
192,train,2026-03-08T08:33:16,HSM-DC-MND,API-5L-X52,9.92,1286.6,0,
1552,train,2026-03-08T09:49:55,HSM-DC-MND,SAE-1006,5.97,1336.3,0,
1190,train,2026-03-08T11:06:33,HSM-DC-MND,API-5L-X52,10.37,1370.7,0,
102,train,2026-03-08T12:23:12,HSM-DC-MND,SAE-1006,7.2,1526.6,0,
900,train,2026-03-08T13:39:50,HSM-DC-MND,API-5L-X52,10.07,1462.4,0,
674,train,2026-03-08T14:56:29,HSM-DC-MND,API-5L-X52,8.22,930.5,0,
572,train,2026-03-08T16:13:07,HSM-DC-MND,API-5L-X52,3.02,1356.5,0,
1205,train,2026-03-08T17:29:46,HSM-DC-MND,HRC-IS2062-E250,2.25,1355.1,0,
1081,train,2026-03-08T18:46:24,HSM-DC-MND,SAE-1018,5.57,1000.1,0,
314,train,2026-03-08T20:03:03,HSM-DC-MND,API-5L-X52,2.88,981.5,0,
1228,train,2026-03-08T21:19:41,HSM-DC-MND,HRC-IS2062-E350,3.58,1361.3,0,
944,train,2026-03-08T22:36:20,HSM-DC-MND,SAE-1006,8.96,1239.9,0,
516,train,2026-03-08T23:52:58,HSM-DC-MND,SAE-1018,5.61,923.0,0,
912,train,2026-03-09T01:09:36,HSM-DC-MND,SAE-1018,6.85,1031.6,0,
189,train,2026-03-09T02:26:15,HSM-DC-MND,HRC-IS2062-E250,11.92,1133.0,0,
1016,train,2026-03-09T03:42:53,HSM-DC-MND,HRC-IS2062-E250,8.86,1036.7,0,
1529,train,2026-03-09T04:59:32,HSM-DC-MND,SAE-1006,11.74,1370.2,0,
1619,train,2026-03-09T06:16:10,HSM-DC-MND,HRC-IS2062-E250,9.01,1432.0,0,
1254,train,2026-03-09T07:32:49,HSM-DC-MND,API-5L-X52,6.25,1143.7,0,
367,train,2026-03-09T08:49:27,HSM-DC-MND,HRC-IS2062-E350,10.72,1105.4,0,
114,train,2026-03-09T10:06:06,HSM-DC-MND,HRC-IS2062-E350,9.46,1297.9,0,
1654,train,2026-03-09T11:22:44,HSM-DC-MND,HRC-IS2062-E350,7.21,991.8,0,
1551,train,2026-03-09T12:39:23,HSM-DC-MND,HRC-IS2062-E350,10.97,962.9,0,
1563,train,2026-03-09T13:56:01,HSM-DC-MND,HRC-IS2062-E350,10.08,1339.9,0,
125,train,2026-03-09T15:12:40,HSM-DC-MND,HRC-IS2062-E350,9.99,1225.8,0,
824,train,2026-03-09T16:29:18,HSM-DC-MND,HRC-IS2062-E250,5.97,1304.8,0,
1391,train,2026-03-09T17:45:56,HSM-DC-MND,HRC-IS2062-E350,2.58,1051.7,0,
369,train,2026-03-09T19:02:35,HSM-DC-MND,HRC-IS2062-E350,3.65,1170.6,0,
1268,train,2026-03-09T20:19:13,HSM-DC-MND,SAE-1018,4.31,1412.8,0,
927,train,2026-03-09T21:35:52,HSM-DC-MND,API-5L-X52,5.5,1298.4,0,
1439,train,2026-03-09T22:52:30,HSM-DC-MND,SAE-1006,9.68,1003.7,0,
1587,train,2026-03-10T00:09:09,HSM-DC-MND,SAE-1006,4.96,1436.9,0,
375,train,2026-03-10T01:25:47,HSM-DC-MND,API-5L-X52,7.07,1492.8,0,
624,train,2026-03-10T02:42:26,HSM-DC-MND,SAE-1006,4.32,1191.0,1,
76,train,2026-03-10T03:59:04,HSM-DC-MND,SAE-1006,3.55,1035.5,0,
1342,train,2026-03-10T05:15:43,HSM-DC-MND,API-5L-X52,8.26,900.0,0,
478,train,2026-03-10T06:32:21,HSM-DC-MND,HRC-IS2062-E350,4.79,1400.7,0,
387,train,2026-03-10T07:49:00,HSM-DC-MND,HRC-IS2062-E350,6.32,1498.3,0,
283,train,2026-03-10T09:05:38,HSM-DC-MND,HRC-IS2062-E250,3.77,1499.0,0,
504,train,2026-03-10T10:22:16,HSM-DC-MND,SAE-1018,7.8,976.2,0,
1248,train,2026-03-10T11:38:55,HSM-DC-MND,HRC-IS2062-E350,6.39,1209.2,0,
