fault_code,equipment_id,title,meaning,likely_cause,recommended_action,related_sops,related_spares,severity
F3-GBX-002,HSM-F3-GBX,Rising gear-mesh sidebands with oil iron-particle trend,Gear-mesh-frequency sidebands and oil Fe particle count rising together over weeks.,Stage-2 gear-tooth pitting progressing toward tooth fracture.,Confirm by vibration spectrum and oil analysis; plan Stage-2 gear set replacement before fracture.,SOP-GBX-001;SOP-OIL-001;SOP-VIB-001,GBX-GEAR-SET-01,critical
F3-GBX-001,HSM-F3-GBX,Gearbox oil over-temperature,Oil temperature exceeds normal operating band.,"Cooler fouling, low oil level, or excessive load.",Check cooler and oil level; sample oil per SOP-OIL-001.,SOP-OIL-001,GBX-OIL-FILT-01,medium
F3-GBX-003,HSM-F3-GBX,Gearbox low oil level,Lubricant level below minimum sight-glass mark.,Leak at seal or drain; top-up overdue.,"Inspect seals, top up, and re-sample oil.",SOP-OIL-001,GBX-OIL-FILT-01,high
F3-GBX-004,HSM-F3-GBX,Gearbox broadband vibration high,Overall vibration RMS in ISO action zone.,"Advanced gear or bearing damage, or misalignment.",Stop at next opportunity; inspect per SOP-GBX-001.,SOP-GBX-001;SOP-VIB-001,GBX-GEAR-SET-01;GBX-BRG-SET-01,critical
F2-WRB-001,HSM-F2-WRB,Bearing temperature and vibration rising with inner-race signature,Bearing temperature and vibration RMS rising together with a ball-pass inner-race (BPFI) signature.,Lubrication starvation leading to inner-race spalling.,Perform immediate lubrication check per SOP-LUB-001; plan bearing replacement per SOP-BRG-001.,SOP-LUB-001;SOP-BRG-001;SOP-VIB-001,BRG-F2-TRB-01;GREASE-EP2-DRUM,high
F2-WRB-002,HSM-F2-WRB,Bearing over-temperature trip,Bearing temperature crosses the protective trip threshold.,Loss of lubrication or advanced spalling.,Stop the stand; do not restart before lubrication and inspection.,SOP-LUB-001;SOP-BRG-001,BRG-F2-TRB-01,critical
F2-WRB-003,HSM-F2-WRB,Bearing housing looseness,Sub-harmonic and harmonic vibration pattern suggesting mechanical looseness.,Loose housing bolts or worn fit.,Torque-check housing; inspect fits per SOP-BRG-001.,SOP-BRG-001,BRG-F2-TRB-01,medium
DC-MND-001,HSM-DC-MND,Mandrel segment wear,Mandrel segment clearance beyond tolerance.,Abrasive wear of segment faces over service life.,Measure segment clearance per SOP-MND-001; replace segment set if out of tolerance.,SOP-MND-001,DC-MND-SEG-01,high
DC-MND-002,HSM-DC-MND,Wrapper-roll bearing vibration,Intermittent wrapper-roll bearing vibration ticks.,Early wrapper-roll bearing degradation.,Trend vibration; replace wrapper-roll bearing at next planned stop.,SOP-BRG-001;SOP-VIB-001,DC-WRAP-BRG-01,medium
DC-PROC-001,HSM-DC-MND,Alpha surface-defect cluster on coiled product,Cluster of Alpha surface defects on finished coils correlated with upstream multi-stage process parameters.,Process-parameter excursions interacting with equipment condition (assessed by the Phase 3 defect model).,Review process parameters for flagged coils; cross-check mandrel and wrapper-roll condition.,SOP-MND-001,DC-WRAP-BRG-01,medium
