delay_id,equipment_id,date,duration_min,category,description,shift
DL-GEN-0051,HSM-AGC-HYD,2025-11-28,35,electrical,Electrical delay on Hydraulic Automatic Gauge Control (AGC) system.,C
DL-GEN-0052,HSM-AGC-HYD,2025-12-29,69,inspection,Inspection delay on Hydraulic Automatic Gauge Control (AGC) system.,A
DL-GEN-0054,HSM-AGC-HYD,2026-01-10,87,electrical,Electrical delay on Hydraulic Automatic Gauge Control (AGC) system.,C
DL-GEN-0050,HSM-AGC-HYD,2026-01-30,48,process,Process delay on Hydraulic Automatic Gauge Control (AGC) system.,C
DL-GEN-0053,HSM-AGC-HYD,2026-02-10,36,process,Process delay on Hydraulic Automatic Gauge Control (AGC) system.,A
DL-GEN-0049,HSM-AGC-HYD,2026-04-10,52,process,Process delay on Hydraulic Automatic Gauge Control (AGC) system.,A
DL-GEN-0022,HSM-DC-MND,2026-01-17,50,hydraulic,Hydraulic delay on Down-coiler mandrel and wrapper-roll assembly.,A
DL-GEN-0030,HSM-DC-MND,2026-01-18,60,inspection,Inspection delay on Down-coiler mandrel and wrapper-roll assembly.,C
DL-GEN-0023,HSM-DC-MND,2026-01-22,73,hydraulic,Hydraulic delay on Down-coiler mandrel and wrapper-roll assembly.,A
DL-GEN-0027,HSM-DC-MND,2026-01-28,78,process,Process delay on Down-coiler mandrel and wrapper-roll assembly.,A
DL-GEN-0028,HSM-DC-MND,2026-01-28,5,mechanical,Mechanical delay on Down-coiler mandrel and wrapper-roll assembly.,C
DL-GEN-0029,HSM-DC-MND,2026-03-20,79,hydraulic,Hydraulic delay on Down-coiler mandrel and wrapper-roll assembly.,B
DL-GEN-0024,HSM-DC-MND,2026-03-30,16,hydraulic,Hydraulic delay on Down-coiler mandrel and wrapper-roll assembly.,C
DL-GEN-0021,HSM-DC-MND,2026-04-10,32,hydraulic,Hydraulic delay on Down-coiler mandrel and wrapper-roll assembly.,A
DL-GEN-0025,HSM-DC-MND,2026-04-15,38,electrical,Electrical delay on Down-coiler mandrel and wrapper-roll assembly.,A
DL-GEN-0026,HSM-DC-MND,2026-04-28,22,electrical,Electrical delay on Down-coiler mandrel and wrapper-roll assembly.,B
DL-GEN-0035,HSM-DSC-PMP,2025-12-08,64,inspection,Inspection delay on Descaler high-pressure pump.,B
DL-GEN-0034,HSM-DSC-PMP,2026-01-04,73,hydraulic,Hydraulic delay on Descaler high-pressure pump.,C
DL-GEN-0033,HSM-DSC-PMP,2026-04-08,85,electrical,Electrical delay on Descaler high-pressure pump.,B
DL-GEN-0036,HSM-DSC-PMP,2026-04-29,84,mechanical,Mechanical delay on Descaler high-pressure pump.,B
DL-GEN-0032,HSM-DSC-PMP,2026-04-30,18,mechanical,Mechanical delay on Descaler high-pressure pump.,A
DL-GEN-0031,HSM-DSC-PMP,2026-05-08,40,inspection,Inspection delay on Descaler high-pressure pump.,A
DL-GEN-0055,HSM-F1-WRB,2025-12-27,83,inspection,Inspection delay on F1 finishing stand work-roll bearing.,B
DL-GEN-0057,HSM-F1-WRB,2026-01-16,24,hydraulic,Hydraulic delay on F1 finishing stand work-roll bearing.,B
DL-GEN-0059,HSM-F1-WRB,2026-02-12,68,inspection,Inspection delay on F1 finishing stand work-roll bearing.,C
DL-GEN-0060,HSM-F1-WRB,2026-02-17,13,hydraulic,Hydraulic delay on F1 finishing stand work-roll bearing.,C
DL-GEN-0056,HSM-F1-WRB,2026-03-22,66,electrical,Electrical delay on F1 finishing stand work-roll bearing.,A
DL-GEN-0058,HSM-F1-WRB,2026-05-03,29,inspection,Inspection delay on F1 finishing stand work-roll bearing.,C
DL-GEN-0008,HSM-F2-WRB,2025-12-09,43,hydraulic,Hydraulic delay on F2 finishing stand work-roll bearing (drive side).,A
DL-GEN-0004,HSM-F2-WRB,2025-12-18,37,process,Process delay on F2 finishing stand work-roll bearing (drive side).,A
DL-GEN-0002,HSM-F2-WRB,2026-02-09,28,mechanical,Mechanical delay on F2 finishing stand work-roll bearing (drive side).,C
DL-GEN-0001,HSM-F2-WRB,2026-02-23,39,process,Process delay on F2 finishing stand work-roll bearing (drive side).,A
DL-GEN-0003,HSM-F2-WRB,2026-03-03,87,hydraulic,Hydraulic delay on F2 finishing stand work-roll bearing (drive side).,A
DL-GEN-0009,HSM-F2-WRB,2026-03-11,51,electrical,Electrical delay on F2 finishing stand work-roll bearing (drive side).,C
DL-GEN-0005,HSM-F2-WRB,2026-04-09,59,hydraulic,Hydraulic delay on F2 finishing stand work-roll bearing (drive side).,B
DL-GEN-0007,HSM-F2-WRB,2026-04-26,71,electrical,Electrical delay on F2 finishing stand work-roll bearing (drive side).,A
DL-GEN-0006,HSM-F2-WRB,2026-05-04,38,inspection,Inspection delay on F2 finishing stand work-roll bearing (drive side).,C
DL-GEN-0010,HSM-F2-WRB,2026-05-30,38,inspection,Inspection delay on F2 finishing stand work-roll bearing (drive side).,B
